Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
TYPE,Monotype Imaging Holdings Inc.,21.95,$912.25M,2007,Technology,EDP Services,https://www.nasdaq.com/symbol/type
MNRO,"Monro, Inc. ",52.75,$1.73B,1991,Consumer Services,Automotive Aftermarket,https://www.nasdaq.com/symbol/mnro
MRCC,Monroe Capital Corporation,12.31,$249.15M,2012,n/a,n/a,https://www.nasdaq.com/symbol/mrcc
MNST,Monster Beverage Corporation,55.62,$31.5B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/mnst
MORN,"Morningstar, Inc.",94.75,$4.03B,2005,Finance,Investment Managers,https://www.nasdaq.com/symbol/morn
MOSY,"MoSys, Inc.",1.1995,$9.78M,2001,Technology,Semiconductors,https://www.nasdaq.com/symbol/mosy
MTFB,Motif Bio plc,8.54,$112.85M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mtfb
MTFBW,Motif Bio plc,3.4,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mtfbw
MPAA,"Motorcar Parts of America, Inc.",20.97,$399.98M,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/mpaa
MOTS,"Motus GI Holdings, Inc.",4.5699,$71.18M,2018,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mots
MPVD,Mountain Province Diamonds Inc.,2.5,$400.63M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/mpvd
MOXC,"Moxian, Inc.",3.0289,$202.96M,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/moxc
MSBF,MSB Financial Corp.,18.2,$103.5M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/msbf
MTEC,MTech Acquisition Corp.,9.6,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/mtec
MTECU,MTech Acquisition Corp.,10.13,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/mtecu
MTECW,MTech Acquisition Corp.,0.62,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/mtecw
MTGE,MTGE Investment Corp.,17.65,$808.33M,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/mtge
MTGEP,MTGE Investment Corp.,25.8118,$51.62M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/mtgep
MTSC,MTS Systems Corporation,50.4,$897.46M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mtsc
MUDS,Mudrick Capital Acquisition Corporation,9.6009,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/muds
MUDSU,Mudrick Capital Acquisition Corporation,10.2,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/mudsu
MUDSW,Mudrick Capital Acquisition Corporation,0.65,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/mudsw
LABL,Multi-Color Corporation,66,$1.35B,1987,Miscellaneous,Publishing,https://www.nasdaq.com/symbol/labl
MBIO,"Mustang Bio, Inc.",10.99,$297.79M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mbio
MFSF,MutualFirst Financial Inc.,36.5,$312.98M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mfsf
MVBF,MVB Financial Corp.,19.7,$207.41M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mvbf
MYSZ,"My Size, Inc.",1.29,$37.6M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mysz
MYL,Mylan N.V.,39.54,$20.35B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/myl
MYND,"MYnd Analytics, Inc.",1.26,$5.5M,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/mynd
MYNDW,"MYnd Analytics, Inc.",0.29,n/a,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/myndw
MYOK,"MyoKardia, Inc.",48.45,$1.74B,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/myok
MYOS,MYOS RENS Technology Inc.,1.24,$8.04M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/myos
MYRG,"MYR Group, Inc.",30.5,$502.26M,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/myrg
MYGN,"Myriad Genetics, Inc.",29.15,$2.04B,1995,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/mygn
NBRV,Nabriva Therapeutics plc,4.76,$174.77M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nbrv
NAKD,Naked Brand Group Inc.,1.43,$14.79M,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/nakd
NNDM,Nano Dimension Ltd.,1.78,$34.37M,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/nndm
NANO,Nanometrics Incorporated,25.88,$614.94M,1984,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/nano
NSTG,"NanoString Technologies, Inc.",7.32,$186.22M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/nstg
NAOV,"NanoVibronix, Inc.",4.44,$16.76M,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/naov
NH,"NantHealth, Inc.",3.09,$335.51M,2016,Technology,EDP Services,https://www.nasdaq.com/symbol/nh
NK,"NantKwest, Inc.",3.62,$286.09M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/nk
NSSC,"NAPCO Security Technologies, Inc.",10.55,$197.38M,n/a,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/nssc
NDAQ,"Nasdaq, Inc.",85.53,$14.25B,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ndaq
NTRA,"Natera, Inc.",8.84,$478.52M,2015,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/ntra
NATH,"Nathan&#39;s Famous, Inc.",70.75,$296.06M,1993,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/nath
NAUH,"National American University Holdings, Inc.",1.2101,$29.42M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/nauh
NKSH,"National Bankshares, Inc.",44.05,$306.5M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/nksh
FIZZ,National Beverage Corp.,87,$4.05B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/fizz
NCMI,"National CineMedia, Inc.",5.23,$413.87M,2007,Consumer Services,Advertising,https://www.nasdaq.com/symbol/ncmi
NCOM,National Commerce Corporation,43.05,$741.63M,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/ncom
NESR,National Energy Services Reunited Corp.,9.9404,$116.61M,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nesr
NESRW,National Energy Services Reunited Corp.,0.9,n/a,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nesrw
NGHC,National General Holdings Corp,24.08,$2.57B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nghc
NGHCN,National General Holdings Corp,24.7902,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nghcn
NGHCO,National General Holdings Corp,24.78,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nghco
NGHCP,National General Holdings Corp,25.0752,$55.17M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nghcp
NGHCZ,National General Holdings Corp,24.941,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nghcz
NHLD,National Holdings Corporation,4.37,$54.35M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/nhld
NHLDW,National Holdings Corporation,1.3,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/nhldw
NATI,National Instruments Corporation,48.08,$6.31B,1995,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/nati
NRCIA,National Research Corporation,28.45,$697.35M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/nrcia
NRCIB,National Research Corporation,49.83,$1.22B,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/nrcib
NSEC,"National Security Group, Inc.",16.025,$40.42M,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/nsec
EYE,"National Vision Holdings, Inc.",31.76,$2.37B,2017,Health Care,Ophthalmic Goods,https://www.nasdaq.com/symbol/eye
NWLI,"National Western Life Group, Inc.",301.49,$1.1B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/nwli
NAII,"Natural Alternatives International, Inc.",11.2,$83.21M,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/naii
NHTC,Natural Health Trends Corp.,18.73,$213.07M,n/a,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/nhtc
NATR,"Nature&#39;s Sunshine Products, Inc.",10.25,$194.92M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/natr
BABY,Natus Medical Incorporated,32.95,$1.09B,2001,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/baby
JSM,Navient Corporation,23.1546,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/jsm
NAVI,Navient Corporation,12.69,$3.34B,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/navi
NBTB,NBT Bancorp Inc.,34.92,$1.52B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/nbtb
NCSM,"NCS Multistage Holdings, Inc.",15.08,$670.8M,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ncsm
NEBU,Nebula Acquisition Corporation,9.65,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/nebu
NEBUU,Nebula Acquisition Corporation,10.1,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/nebuu
NEBUW,Nebula Acquisition Corporation,1.25,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/nebuw
NKTR,Nektar Therapeutics,98.77,$15.89B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nktr
NMRD,Nemaura Medical Inc.,4.5798,$309.94M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nmrd
NEOG,Neogen Corporation,65.53,$3.38B,1989,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/neog
NEO,"NeoGenomics, Inc.",7.99,$643.25M,n/a,Health Care,Precision Instruments,https://www.nasdaq.com/symbol/neo
NEON,Neonode Inc.,0.45,$26.37M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/neon
NEOS,"Neos Therapeutics, Inc.",8.15,$236.33M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/neos
NVCN,Neovasc Inc.,0.0567,$7.25M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nvcn
NEPT,Neptune Technologies & Bioresources Inc,2.83,$222.95M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nept
UEPS,"Net 1 UEPS Technologies, Inc.",9.4,$534.22M,2005,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ueps
NETE,"Net Element, Inc.",6.315,$22.16M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/nete
NTAP,"NetApp, Inc.",59.16,$15.85B,1995,Technology,Electronic Components,https://www.nasdaq.com/symbol/ntap
NTES,"NetEase, Inc.",275.86,$36.21B,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ntes
NFLX,"Netflix, Inc.",280.29,$121.63B,2002,Consumer Services,Consumer Electronics/Video Chains,https://www.nasdaq.com/symbol/nflx
NTGR,"NETGEAR, Inc.",56.15,$1.76B,2003,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/ntgr
NLST,"Netlist, Inc.",0.2272,$16M,2006,Technology,Semiconductors,https://www.nasdaq.com/symbol/nlst
NTCT,"NetScout Systems, Inc.",26,$2.27B,1999,Technology,EDP Services,https://www.nasdaq.com/symbol/ntct
NTWK,NetSol Technologies Inc.,4.55,$51.85M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ntwk
CUR,"Neuralstem, Inc.",1.71,$25.9M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cur
NBIX,"Neurocrine Biosciences, Inc.",78.27,$6.99B,1996,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/nbix
NURO,"NeuroMetrix, Inc.",1.4,$10M,2004,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nuro
NUROW,"NeuroMetrix, Inc.",0.0599,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nurow
NTRP,"Neurotrope, Inc.",8.29,$65.55M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ntrp
NBEV,New Age Beverages Corporation,2.45,$86.17M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/nbev
NYMT,"New York Mortgage Trust, Inc.",5.83,$653.64M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nymt
NYMTN,"New York Mortgage Trust, Inc.",23.4877,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nymtn
NYMTO,"New York Mortgage Trust, Inc.",23.8078,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nymto
NYMTP,"New York Mortgage Trust, Inc.",23.71,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/nymtp
NEWA,"Newater Technology, Inc.",21.48,$227.67M,2017,Basic Industries,Miscellaneous,https://www.nasdaq.com/symbol/newa
NLNK,NewLink Genetics Corporation,7.05,$261.95M,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nlnk
NMRK,"Newmark Group, Inc.",15.14,$2.34B,2017,Finance,Real Estate,https://www.nasdaq.com/symbol/nmrk
NWS,News Corporation,15.65,$9.12B,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/nws
NWSA,News Corporation,15.41,$8.98B,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/nwsa
NEWT,Newtek Business Services Corp.,17.62,$326.8M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/newt
NEWTI,Newtek Business Services Corp.,25.25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/newti
NEWTZ,Newtek Business Services Corp.,25.68,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/newtz
NXEO,"Nexeo Solutions, Inc.",10.5,$942.28M,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/nxeo
NXEOU,"Nexeo Solutions, Inc.",11.09,n/a,2014,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/nxeou
NXEOW,"Nexeo Solutions, Inc.",0.8199,n/a,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/nxeow
NXST,"Nexstar Media Group, Inc.",64.05,$2.95B,2003,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/nxst
NEXT,NextDecade Corporation,5.04,$536.24M,2015,Public Utilities,Oil & Gas Production,https://www.nasdaq.com/symbol/next
NFEC,NF Energy Saving Corporation,1.27,$9.62M,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/nfec
NODK,"NI Holdings, Inc.",16.48,$368.37M,2017,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nodk
EGOV,NIC Inc.,13.2,$885.99M,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/egov
NICE,NICE Ltd,92.4,$5.63B,n/a,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/nice
NICK,"Nicholas Financial, Inc.",9.05,$71.36M,n/a,Finance,Finance Companies,https://www.nasdaq.com/symbol/nick
NCBS,Nicolet Bankshares Inc.,54.2,$528.03M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ncbs
NITE,Nightstar Therapeutics plc,12.895,$362.36M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/nite
NIHD,"NII Holdings, Inc.",2.04,$204.98M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/nihd
NMIH,NMI Holdings Inc,16.5,$1.08B,2013,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nmih
NNBR,"NN, Inc.",23.05,$635.57M,1994,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/nnbr
NDLS,Noodles & Company,7.25,$287.14M,2013,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/ndls
NDSN,Nordson Corporation,132.71,$7.69B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/ndsn
NSYS,Nortech Systems Incorporated,2.9,$7.84M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/nsys
NBN,Northeast Bancorp,19.95,$178.1M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/nbn
NTIC,Northern Technologies International Corporation,22.6,$102.55M,n/a,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/ntic
NTRS,Northern Trust Corporation,101.41,$22.88B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ntrs
NTRSP,Northern Trust Corporation,26.62,$425.92M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ntrsp
NFBK,"Northfield Bancorp, Inc.",15.31,$751.09M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/nfbk
NRIM,Northrim BanCorp Inc,34.05,$233.99M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/nrim
NWBI,"Northwest Bancshares, Inc.",16.21,$1.66B,2009,Finance,Major Banks,https://www.nasdaq.com/symbol/nwbi
NWPX,Northwest Pipe Company,17.49,$170.07M,1995,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/nwpx
NCLH,Norwegian Cruise Line Holdings Ltd.,51.97,$11.88B,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/nclh
NWFL,Norwood Financial Corp.,30.07,$188.16M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/nwfl
NVFY,"Nova Lifestyle, Inc",2.04,$56.06M,n/a,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/nvfy
NVMI,Nova Measuring Instruments Ltd.,26.41,$736.92M,2000,Capital Goods,Electronic Components,https://www.nasdaq.com/symbol/nvmi
NOVN,"Novan, Inc.",2.69,$70.04M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/novn
NOVT,Novanta Inc.,51.05,$1.77B,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/novt
NVAX,"Novavax, Inc.",2.13,$732.17M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/nvax
NVLN,Novelion Therapeutics Inc. ,3.4,$63.1M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nvln
NVCR,NovoCure Limited,20.35,$1.83B,2015,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nvcr
NVMM,"Novume Solutions, Inc.",3.58,$51.23M,n/a,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/nvmm
NVUS,"Novus Therapeutics, Inc.",4.74,$44.59M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nvus
NUAN,"Nuance Communications, Inc.",15.3,$4.49B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/nuan
NCNA,NuCana plc,20.49,$651.81M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ncna
NTNX,"Nutanix, Inc.",47.66,$7.83B,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ntnx
NTRI,NutriSystem Inc,27.3,$815.98M,n/a,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/ntri
NUVA,"NuVasive, Inc.",53.07,$2.72B,2004,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nuva
NVTR,Nuvectra Corporation,12.83,$181.03M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nvtr
QQQX,Nuveen NASDAQ 100 Dynamic Overwrite Fund,24.12,$883.06M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/qqqx
NVEE,"NV5 Global, Inc.",54.45,$590.3M,2013,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/nvee
NVEC,NVE Corporation,78.91,$382.08M,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/nvec
NVDA,NVIDIA Corporation,221.05,$133.74B,1999,Technology,Semiconductors,https://www.nasdaq.com/symbol/nvda
NXPI,NXP Semiconductors N.V.,115.22,$39.06B,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/nxpi
NXTM,"NxStage Medical, Inc.",24.82,$1.65B,2005,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/nxtm
NXTD,NXT-ID Inc.,1.92,$43.6M,n/a,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/nxtd
NXTDW,NXT-ID Inc.,0.3756,n/a,n/a,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/nxtdw
NYMX,Nymox Pharmaceutical Corporation,4.12,$224.14M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/nymx
OIIM,O2Micro International Limited,1.4,$35.97M,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/oiim
OVLY,Oak Valley Bancorp (CA),22.21,$181.63M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ovly
OCSL,Oaktree Specialty Lending Corporation,4.23,$596.26M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ocsl
OCSLL,Oaktree Specialty Lending Corporation,24.95,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ocsll
OCSI,Oaktree Strategic Income Corporation,8.03,$236.62M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ocsi
OASM,Oasmia Pharmaceutical AB,1.31,$77.03M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/oasm
OBLN,"Obalon Therapeutics, Inc.",3.55,$62.52M,2016,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/obln
OBSV,ObsEva SA,13.55,$503.13M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/obsv
OBCI,"Ocean Bio-Chem, Inc.",3.9,$36.01M,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/obci
OPTT,"Ocean Power Technologies, Inc.",1.09,$20M,2007,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/optt
ORIG,Ocean Rig UDW Inc.,25.27,$2.31B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/orig
OCFC,OceanFirst Financial Corp.,26.31,$1.26B,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ocfc
OCLR,"Oclaro, Inc.",9.41,$1.6B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/oclr
OFED,Oconee Federal Financial Corp.,28.7,$165.04M,2011,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ofed
OCUL,"Ocular Therapeutix, Inc.",6.44,$240.07M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ocul
ODT,"Odonate Therapeutics, Inc.",20.47,$559.47M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/odt
OMEX,"Odyssey Marine Exploration, Inc.",8.12,$68.75M,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/omex
ODP,"Office Depot, Inc.",2.08,$1.16B,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/odp
OFS,OFS Capital Corporation,11.11,$148.21M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ofs
OHAI,OHA Investment Corporation,1.38,$27.84M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ohai
OVBC,Ohio Valley Banc Corp.,41.9,$197.76M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ovbc
OHRP,"Ohr Pharmaceutical, Inc.",0.2254,$12.73M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ohrp
OKTA,"Okta, Inc.",39.02,$4.08B,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/okta
ODFL,"Old Dominion Freight Line, Inc.",141.57,$11.66B,1991,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/odfl
OLBK,"Old Line Bancshares, Inc.",32.5,$408.42M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/olbk
ONB,Old National Bancorp,16.55,$2.52B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/onb
OPOF,Old Point Financial Corporation,26.49,$132.97M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/opof
OSBC,"Old Second Bancorp, Inc.",13.7,$406.8M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/osbc
OSBCP,"Old Second Bancorp, Inc.",10.4142,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/osbcp
OLLI,"Ollie&#39;s Bargain Outlet Holdings, Inc.",59.2,$3.65B,2015,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/olli
ZEUS,"Olympic Steel, Inc.",20.06,$220.63M,1994,Basic Industries,Metal Fabrications,https://www.nasdaq.com/symbol/zeus
OFLX,"Omega Flex, Inc.",65,$655.97M,n/a,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/oflx
OMER,Omeros Corporation,10.79,$521.01M,2009,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/omer
OMNT,"Ominto, Inc.",2.84,$49.08M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/omnt
OMCL,"Omnicell, Inc.",42.2,$1.64B,2001,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/omcl
ON,ON Semiconductor Corporation,23.37,$9.94B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/on
OTIV,On Track Innovations Ltd,0.97,$39.94M,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/otiv
ONS,"Oncobiologics, Inc.",0.9101,$23.43M,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ons
ONSIW,"Oncobiologics, Inc.",0.035,n/a,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/onsiw
ONSIZ,"Oncobiologics, Inc.",0.03,n/a,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/onsiz
OMED,"OncoMed Pharmaceuticals, Inc.",3.14,$120.14M,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/omed
ONTX,"Onconova Therapeutics, Inc.",0.8416,$15.95M,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ontx
