Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
TLYS,"Tilly&#39;s, Inc.",11.26,$327.83M,2012,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/tlys
TSU,TIM Participacoes S.A.,21.18,$10.26B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tsu
TWX,Time Warner Inc.,94.8,$73.93B,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/twx
TKR,Timken Company (The),43.9,$3.42B,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/tkr
TMST,Timken Steel Corporation,14.57,$648.77M,2014,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/tmst
TWI,"Titan International, Inc.",12.15,$726.7M,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/twi
TJX,"TJX Companies, Inc. (The)",80.56,$50.94B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/tjx
TOL,"Toll Brothers, Inc.",41.95,$6.37B,n/a,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/tol
TR,"Tootsie Roll Industries, Inc.",28.9,$1.1B,n/a,Consumer Non-Durables,Specialty Foods,https://www.nasdaq.com/symbol/tr
BLD,TopBuild Corp.,72.9,$2.6B,2015,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/bld
TMK,Torchmark Corporation,82.2,$9.36B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/tmk
TMK^C,Torchmark Corporation,26.15,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tmk^c
TTC,Toro Company (The),60.76,$6.44B,n/a,Capital Goods,Tools/Hardware,https://www.nasdaq.com/symbol/ttc
TD,Toronto Dominion Bank (The),56.24,$103.78B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/td
NDP,"Tortoise Energy Independence Fund, Inc.",10.98,$159.85M,2012,n/a,n/a,https://www.nasdaq.com/symbol/ndp
TYG,Tortoise Energy Infrastructure Corporation,25.14,$1.23B,2004,n/a,n/a,https://www.nasdaq.com/symbol/tyg
NTG,"Tortoise MLP Fund, Inc.",15.85,$747.5M,2010,n/a,n/a,https://www.nasdaq.com/symbol/ntg
TTP,"Tortoise Pipeline & Energy Fund, Inc.",16.04,$160.66M,2011,n/a,n/a,https://www.nasdaq.com/symbol/ttp
TPZ,"Tortoise Power and Energy Infrastructure Fund, Inc",17.68,$122.9M,2009,n/a,n/a,https://www.nasdaq.com/symbol/tpz
TOT,Total S.A.,56.81,$148.69B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tot
TSS,"Total System Services, Inc.",84.74,$15.4B,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/tss
TOWR,"Tower International, Inc.",26.5,$544.37M,2010,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/towr
TSQ,"Townsquare Media, Inc.",7.65,$141.5M,2014,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/tsq
TM,Toyota Motor Corp Ltd Ord,126.59,$187.16B,n/a,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/tm
TPGE,TPG Pace Energy Holdings Corp.,10.1,$820.63M,2017,Finance,Business Services,https://www.nasdaq.com/symbol/tpge
TPGE.U,TPG Pace Energy Holdings Corp.,n/a,n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/tpge.u
TPGE.WS,TPG Pace Energy Holdings Corp.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tpge.ws
TPGH,TPG Pace Holdings Corp.,9.8,$551.25M,2017,Finance,Business Services,https://www.nasdaq.com/symbol/tpgh
TPGH.U,TPG Pace Holdings Corp.,n/a,n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/tpgh.u
TPGH.WS,TPG Pace Holdings Corp.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tpgh.ws
TRTX,"TPG RE Finance Trust, Inc.",19.75,$1.19B,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/trtx
TSLX,"TPG Specialty Lending, Inc.",17.83,$1.14B,2014,n/a,n/a,https://www.nasdaq.com/symbol/tslx
TAC,TransAlta Corporation,5.35,$1.54B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/tac
TRP,TransCanada Corporation,40.39,$35.78B,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/trp
TCI,"Transcontinental Realty Investors, Inc.",41.65,$363.09M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/tci
TDG,Transdigm Group Incorporated,301.07,$15.71B,2006,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/tdg
TLP,TransMontaigne Partners L.P.,36.27,$587.59M,2005,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/tlp
RIG,Transocean Ltd.,9.63,$4.43B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/rig
TGS,Transportadora De Gas Sa Ord B,19.97,$3.17B,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/tgs
TRU,TransUnion,55.65,$10.23B,2015,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/tru
TVPT,Travelport Worldwide Limited,15.96,$2B,2014,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/tvpt
TREC,Trecora Resources,13.15,$320.7M,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/trec
